"Category","Trigger","XP_amount","Full_screen_modal_CelebrationHost","Primary_SFX","Secondary_SFX","Dex_face_state","Dex_vocal_mapping","Other_on_screen_UI","Notes","Primary_code_reference"
"Onboarding_day1_tasks","Day1 TASK_XP_D1 indices 0..3","25;25;50;0","per grantBonusXp","per grantBonusXp","","Dex status DEX_REACTIONS only","","","Index 3 grants 0 XP in code.","app/onboarding.tsx TASK_XP_D1; handleTaskPress"
"Shield_purchase","buyStreakShield success","-500 XP; streakShield true","none","level_up.wav reused","triggerDexWithMessage celebrating","celebrating","approval","","","context/GameContext.tsx buyStreakShield"
"Shield_insufficient_XP","buyStreakShield totalXp < 500","0","none","none","worried + message","concern","","","","context/GameContext.tsx buyStreakShield"
"DexCard_mount","Home DexCard mount","0","none","none (Dex vocals only if triggerDex)","sleeping | encouraging | celebrating | happy","approval if happy/celebrating","","","Based on days away + streak.","components/DexCard.tsx"
"DexCard_celebration","celebration.type level_up | debt_cleared","0","none","none","celebrating 4s","approval","","","useEffect on celebration.type.","components/DexCard.tsx"
"SFX_key","payment_logged — Sucess.wav","","","","","","","","awardXp LOG non-first; plan/debt onSuccessAfterSheetClosed","context/GameContext.tsx; plan.tsx; debt/[id].tsx"
"SFX_key","xp_earned.wav","","","","","","","","DebtClearedOverlay delayed","components/DebtClearedOverlay.tsx"
"SFX_key","streak_maintained.wav","","","","","","","","recordPaymentForStreak no milestone no level-up","context/GameContext.tsx"
"SFX_key","level_up.wav","","","","","","","","addXpInternal level-up; awardXp level-up paths; streak level-up path; buyStreakShield","context/GameContext.tsx"
"SFX_key","milestone.wav","","","","","","","","first payment; streak milestone; plan/debt goal milestoneHit +200ms","context/GameContext.tsx; plan.tsx; debt/[id].tsx"
"SFX_key","streak_at_risk.wav","","","","","","","","grace window on hydrate","context/GameContext.tsx"
"SFX_key","variable_bonus.wav","","","","","","","","in-app 15% bonus block; notification tap variable_bonus","PaymentSuccessEffects.tsx; app/_layout.tsx"
"SFX_key","interest_saved.wav","","","","","","","","notification tap interest_saved_weekly","app/_layout.tsx"
"SFX_key","debt_paid_off.wav","","","","","","","","awardXp PAY_OFF_DEBT","context/GameContext.tsx"
"SFX_key","dex_approval | dex_concern | dex_surprise","","","","","","","","playDexVocal when triggerDex / triggerDexWithMessage maps state","context/GameContext.tsx triggerDex*"
